[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Analysis started at: 2023-07-07 09:00:20 AM
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Processed function AddMessage
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Generating return summary for Put
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Return summary generated for Put
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Range graph generated
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Processed function Put
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Generating return summary for Collect
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Return summary generated for Collect
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Range graph generated
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Processed function Collect
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Generating return summary for fallback
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Return summary generated for fallback
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Range graph generated
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Processed function fallback
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Value Range Analysis took 0.001914 seconds
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Value Range Analysis finished
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Storage dependency graph compostion started!
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Storage dependency graph compostion finished!
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Dependency detection started!
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Dependency detection finished!
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Static Analysis took 0.378121 seconds
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Dependency does not exist
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Symbolic execution is not needed!
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Analysis finished!
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Analysis took 0.378268 seconds
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Analysis finished at: 2023-07-07 09:00:20 AM
