[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Analysis started at: 2023-07-07 08:59:36 AM
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Processed function slitherConstructorVariables
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Generating return summary for AddMessage
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Return summary generated for AddMessage
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Range graph generated
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Processed function AddMessage
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Generating return summary for Deposit
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Return summary generated for Deposit
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Range graph generated
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Processed function Deposit
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Generating return summary for CashOut
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Return summary generated for CashOut
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Range graph generated
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Processed function CashOut
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Value Range Analysis took 0.002061 seconds
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Value Range Analysis finished
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Storage dependency graph compostion started!
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Storage dependency graph compostion finished!
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Dependency detection started!
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | DAO dependency detected in file 0x95d34980095380851902ccd9a1fb4c813c2cb639.sol in contract Private_Bank in by composing functions CashOut and CashOut
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Dependency detection finished!
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Static Analysis took 0.372279 seconds
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Dependency exists
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Invoking symbolic executor!
[INFO] | 2023-07-07 08:59:37 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Symbolic execution took 0.730660 seconds
[INFO] | 2023-07-07 08:59:37 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Symbolic execution finished!
[INFO] | 2023-07-07 08:59:37 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Analysis finished!
[INFO] | 2023-07-07 08:59:37 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Analysis took 1.103351 seconds
[INFO] | 2023-07-07 08:59:37 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Analysis finished at: 2023-07-07 08:59:37 AM
