File_name,Total_Contract,Total_Function,Total_Variable,Total_Internal_Call,Max_Cyclomatic_Complexity,Loc,sLoc,cLoc
./input/DB3/reentrancy/simple_dao.sol,1,3,5,0,2,27,16,6
./input/DB3/reentrancy/etherstore.sol,1,3,8,1,1,31,17,9
./input/DB3/reentrancy/reentrancy_cross_function.sol,1,2,4,1,2,28,16,7
./input/DB3/reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,2,8,13,3,3,97,72,6
./input/DB3/reentrancy/reentrance.sol,1,4,5,0,3,32,19,6
./input/DB3/reentrancy/reentrancy_dao.sol,1,2,7,1,2,28,18,6
./input/DB3/reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,3,16,16,11,3,100,81,7
./input/DB3/reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31.sol,2,7,13,1,3,96,72,6
./input/DB3/reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,2,8,13,3,3,96,72,6
./input/DB3/reentrancy/spank_chain_payment.sol,5,51,55,52,5,896,658,120
./input/DB3/reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,2,6,11,0,3,76,56,6
./input/DB3/reentrancy/reentrancy_simple.sol,1,3,6,0,1,29,16,8
./input/DB3/reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344.sol,2,6,11,0,3,77,57,6
./input/DB3/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,2,6,11,0,3,74,54,6
./input/DB3/reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,2,6,13,1,3,85,65,6
./input/DB3/reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,2,6,14,0,3,80,59,6
./input/DB3/reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,2,6,13,1,3,85,65,6
./input/DB3/reentrancy/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,2,6,11,0,3,77,57,6
./input/DB3/reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,2,6,13,1,3,85,65,6
./input/DB3/reentrancy/modifier_reentrancy.sol,3,5,4,6,2,49,34,9
./input/DB3/reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,2,6,13,1,3,85,65,6
./input/DB3/reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,2,7,13,1,3,95,72,6
