[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Analysis started at: 2023-07-07 09:00:18 AM
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Processed function Collect
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Generating return summary for fallback
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Return summary generated for fallback
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Range graph generated
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Processed function fallback
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Value Range Analysis took 0.002229 seconds
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Value Range Analysis finished
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Storage dependency graph compostion started!
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Storage dependency graph compostion finished!
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Dependency detection started!
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | DAO dependency detected in file 0xdd17afae8a3dd1936d1113998900447ab9aa9bc0.sol in contract COIN_BOX in by composing functions Collect and SetLogFile
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Dependency detection finished!
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Static Analysis took 0.441576 seconds
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Dependency exists
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Invoking symbolic executor!
[INFO] | 2023-07-07 09:00:19 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Symbolic execution took 0.762328 seconds
[INFO] | 2023-07-07 09:00:19 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Symbolic execution finished!
[INFO] | 2023-07-07 09:00:19 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Analysis finished!
[INFO] | 2023-07-07 09:00:19 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Analysis took 1.204287 seconds
[INFO] | 2023-07-07 09:00:19 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Analysis finished at: 2023-07-07 09:00:19 AM
