[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Analysis started at: 2023-07-10 07:32:18 AM
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Return summary generated for Initialized
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Range graph generated
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Processed function Initialized
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Range graph generated
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Processed function slitherConstructorVariables
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Generating return summary for AddMessage
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Return summary generated for AddMessage
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Range graph generated
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Processed function AddMessage
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Generating return summary for Deposit
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Return summary generated for Deposit
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Range graph generated
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Processed function Deposit
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Generating return summary for Collect
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Return summary generated for Collect
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Range graph generated
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Processed function Collect
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Generating return summary for fallback
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Return summary generated for fallback
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Range graph generated
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Processed function fallback
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Value Range Analysis took 0.003230 seconds
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Value Range Analysis finished
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Storage dependency graph compostion started!
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Storage dependency graph compostion finished!
[INFO] | 2023-07-10 07:32:18 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Dependency detection started!
[INFO] | 2023-07-10 07:32:19 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | DAO dependency detected in file 0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol in contract PERSONAL_BANK in by composing functions Collect and SetLogFile
[INFO] | 2023-07-10 07:32:19 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | DAO dependency detected in file 0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol in contract PERSONAL_BANK in by composing functions Collect and Collect
[INFO] | 2023-07-10 07:32:19 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Dependency detection finished!
[INFO] | 2023-07-10 07:32:19 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Static Analysis took 0.514174 seconds
[INFO] | 2023-07-10 07:32:19 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Dependency exists
[INFO] | 2023-07-10 07:32:19 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Invoking symbolic executor!
[INFO] | 2023-07-10 07:32:19 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Symbolic execution took 0.733545 seconds
[INFO] | 2023-07-10 07:32:19 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Symbolic execution finished!
[INFO] | 2023-07-10 07:32:19 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Analysis finished!
[INFO] | 2023-07-10 07:32:19 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Analysis took 1.248108 seconds
[INFO] | 2023-07-10 07:32:19 AM | analyzer.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f | Analysis finished at: 2023-07-10 07:32:19 AM
