[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Analysis started at: 2023-07-07 09:00:16 AM
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Storage dependency graph compostion started!
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Storage dependency graph compostion finished!
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Dependency detection started!
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | DAO dependency detected in file 0xd116d1349c1382b0b302086a4e4219ae4f8634ff.sol in contract Private_Bank in by composing functions CashOut and CashOut
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Dependency detection finished!
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Static Analysis took 0.366266 seconds
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Dependency exists
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Invoking symbolic executor!
[INFO] | 2023-07-07 09:00:17 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Symbolic execution took 0.731030 seconds
[INFO] | 2023-07-07 09:00:17 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Symbolic execution finished!
[INFO] | 2023-07-07 09:00:17 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Analysis finished!
[INFO] | 2023-07-07 09:00:17 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Analysis took 1.097682 seconds
[INFO] | 2023-07-07 09:00:17 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Analysis finished at: 2023-07-07 09:00:17 AM
